gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
SRRM1,0.0072196500223612094,0.8839826767784398,0.9717950030137019
CLIC4,-0.14333828700042361,0.09174508644487853,0.504922230430109
RUNX3,-0.36345355772743493,0.0013981120809099352,0.13879127679341957
SYF2,-0.0009303438913622628,0.9836090463783904,0.9968387566496474
AL031432.4,-0.07275119959071066,0.4109880561304702,0.8037585565813982
RSRP1,-0.040384929265395594,0.47025387817880326,0.8343803265554944
TMEM50A,-0.09190200855946737,0.07915294133179121,0.48535337787801763
RHCE,0.5468561385503516,0.0019152510683712906,0.15552308675437054
MACO1,-0.057090330267380196,0.17775853764280122,0.6207263950547328
LDLRAP1,0.04844462362077811,0.42817386795940326,0.8132283493035725
SELENON,0.04083400663473513,0.4939582799632595,0.843029905125526
MTFR1L,0.07441473040459956,0.24110991907673276,0.6810856540152654
AUNIP,0.03394341931948718,0.7838260217698378,0.9456788505547475
PAQR7,0.020140766563572096,0.7704907026529051,0.9435828847297616
STMN1,-0.03955310484053476,0.2653311850574685,0.6976255069700646
PAFAH2,0.01187629341646244,0.8962918060436097,0.9747056092977732
PDIK1L,0.16846775689955953,0.062021322778661854,0.4520141217913518
FAM110D,0.3238704257642636,0.022475653270553054,0.33463326783564645
ZNF593,0.15343035630871846,0.21875516621609892,0.6650677583326647
CEP85,0.03721865068831839,0.5046068316126222,0.8472632276068334
SH3BGRL3,-0.09725277447468726,0.08692775175174412,0.49652487517687666
UBXN11,-0.00026728084408561906,0.9967423737746073,0.9989674899670512
CD52,-0.0867148418066297,0.4677173379989473,0.833204129980359
DHDDS,0.09065146458683913,0.08819964776267061,0.49885457764502333
HMGN2,-0.040458048059011514,0.1506959325088182,0.5906554581613547
RPS6KA1,0.0436678083100225,0.46689295821790266,0.832449275167636
ARID1A,-0.04738076697796567,0.30951274171153237,0.7360484478861427
PIGV,0.1383253323799584,0.05971376340891063,0.4462853599550204
ZDHHC18,0.016891230969566712,0.8243801128930195,0.9587395638223435
GPN2,-0.04856218470972894,0.26104438631915744,0.6949389775142122
GPATCH3,0.11614344003734861,0.03857613735000553,0.3945855903900102
NUDC,0.08661629889027458,0.18733173410486192,0.6297925443355615
SLC9A1,-0.13465954551761472,0.16252467266357143,0.6042797229789666
WDTC1,0.001633453397925264,0.974995686684199,0.9941013954204843
TMEM222,0.163203069907568,0.05852709129390248,0.4444162462357148
SYTL1,-0.09916927237446119,0.1480603054544359,0.5879766585643306
WASF2,-0.03485984808134615,0.5362973218446145,0.8623062747219026
AHDC1,-0.22860168294637132,0.0333249426272536,0.3795081591773067
FGR,-0.09651317967010184,0.47084801328155734,0.8343803265554944
IFI6,0.15548687430632796,0.5420848146371497,0.8636318365605675
FAM76A,0.0071340097995665624,0.9266409300102816,0.9821234266335371
STX12,-0.05986912506760479,0.3131726539898423,0.7394137082071981
PPP1R8,0.02970627263982168,0.5740476239940988,0.8791924811549907
THEMIS2,0.02055507892329883,0.8142030786285449,0.9547968413863224
RPA2,0.12505264057372287,0.07089672415715789,0.4700300536638868
SMPDL3B,0.01049624694208383,0.9335853167477408,0.9840069764155677
XKR8,-0.0002602916766037827,0.9972596186073701,0.9989674899670512
EYA3,-0.04343949317557357,0.4729978061538911,0.83447662973003
PTAFR,0.17197363269625504,0.28378936574242974,0.711495859682405
DNAJC8,0.059544738192539734,0.13172952907061852,0.566094820382697
ATP5IF1,0.27584039196154164,0.03379410095895356,0.3795081591773067
AL353622.1,-0.14949040567418126,0.04366340421840066,0.41092328435321634
SESN2,-0.1513748133512982,0.025400242228830573,0.34946135578470783
MED18,-0.014286315839794088,0.8431798732570519,0.962725096805336
PHACTR4,0.0007695677050966188,0.9911844448858568,0.9976053107090087
RCC1,-0.11931712390134493,0.04278025517031149,0.4097417591910235
SNHG3,0.10145128233687167,0.05222519435776647,0.4286883713477525
TRNAU1AP,0.046859873077555694,0.27423605121559297,0.7033232983187906
